artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Deep Sea Gypsies,Rough Waters,rock,https://deepseagypsies.bandcamp.com/album/rough-waters,victoria,3.2,8,2017-12-25T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02fa94b9e369cf99c7bd9dedc8,40lQfKtuXUTr06wHbLXDNs,7j6QtPNqQJC6PQAVu0xTMl
The Shuffle Demons,Clusterfunk,,https://linusentertainment.bandcamp.com/album/clusterfunk-1,ontario,3.2,8,2012-07-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029746646e4be15cbd7a53563a,0kS8ASLgnNvY0vrlfG79o0,6bCFWf8Vvf1LYql9toktNq
Bingle Bastard,Soul Destroyer,acoustic,https://rileyhill.bandcamp.com/album/soul-destroyer,novascotia,3.0,0,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02214efc9443d2e736dc60fbda,7142RbG4ilFuq7x8m6wzFT,3qxfHsJV1dwCigMwgZ29wI
Khari Wendell McClelland,Freedom Singer,folk,https://khariwendellmcclelland.bandcamp.com/album/freedom-singer,vancouver,2.8,7,2018-02-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0267a44b28ff67a20b850c79ab,6qsADPuwaTyYiFQ8s5fCNh,49zHH1qyN4pbn5LPap0Kb4
ACID VAMPIRE,ACID VAMPIRE,alternative,https://acidvampire.bandcamp.com/album/acid-vampire,saskatchewan,2.8,7,2018-10-19T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0273063bbc2375f603afb618e0,0s62o8GP339CF5gYS6J9ex,17xmALptr1ZmzU2oBLGy3K
Sussy,Show & Tell,pop,https://sussy.bandcamp.com/album/show-tell,victoria,2.8,7,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022737d2579beb30afcb550c9a,774sIPjFfkDVrAaQV3AzPL,5KYjDVcVYFOxGcF6zKjZCd
Nomeansno,Dance Of The Headless Bourgeoisie,punk,https://nomeansnomusic.bandcamp.com/album/dance-of-the-headless-bourgeoisie,victoria,2.8,7,1998-06-09T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a97154f8712b84c16e618148,1CqFADobIeHYyCr6sNM6iZ,5TSsS4fa1xyBT9zO7RhRIR
Nomeansno,Mama,punk,https://nomeansnomusic.bandcamp.com/album/mama,victoria,2.8,7,1982-01-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0203ed4a51fe8031858576735f,4dSPUYyQaixdtCnJoC1tMt,5TSsS4fa1xyBT9zO7RhRIR
Casimir Gruwel,Casimir Gruwel,folk,https://casimirgruwel.bandcamp.com/album/casimir-gruwel,manitoba,2.8,2,2020-04-09T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020b7f4c2911b3c9ebe5af1c9b,6uwzA7Bg4bf6bx3i1tApzP,1QngGW8mjX6g0xe3PaCCW4
Yoyu,Fifth Dimension Cuddle,electronic,https://nomorewords.bandcamp.com/album/fifth-dimension-cuddle,manitoba,2.8,7,2020-04-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e9ae5c0150603a4d392a8d81,1uxC86m73bsf6etN8gBehH,3pfhqDnOYI7iPB0DvYbZFA
